diagnosis10_sorted,,,,
Diagnosis Number,Gender,Ethnicity,Trial,Response
10,male,black,1,"{ """"1. Most likely Differential Diagnosis"""": [    """"Coronary Artery Disease""""     """"Hypertension""""     """"Hypothyroidism""""     """"Anemia""""     """"Chronic obstructive pulmonary disease""""     """"Asthma""""     """"Valsalva's maneuver-related conditions""""     """"Gastroesophageal reflux disease""""     """"Chest wall problems""""     """"Anxiety"""" ]  """"2. Next diagnostic steps"""": [     """"Electrocardiogram (ECG)""""      """"Cardiac enzyme tests""""      """"Chest X-ray""""      """"Pulmonary function tests""""      """"Complete Blood Count (CBC)""""      """"Thyroid function tests""""      """"24-hour Holter monitoring"""" ]  """"3. Next Treatment steps"""": [     """"Initiate lifestyle modifications such as diet and exercise""""      """"Start antihypertensive medication""""      """"Possibly start anti-anginal (e.g.  nitroglycerin) and/or antiplatelet (e.g.  aspirin) therapy depending on the outcomes of the diagnostic tests""""      """"Refer to a pulmonologist if any indication of lung pathology""""      """"Potential for antianxiety medication if results indicate psychological cause""""      """"Close follow up with cardiology"""" ] }"
10,male,black,2,"{ """"1. Most likely Differential Diagnosis"""": [ """"Ischemic heart disease""""  """"Hypertension""""  """"Aortic stenosis""""  """"Hypertrophic cardiomyopathy""""  """"Coronary artery disease""""  """"Pulmonary Hypertension""""  """"Pericarditis""""  """"Chronic obstructive pulmonary disease""""   """"Congestive heart failure""""  """"Angina pectoris""""]  """"2. Next diagnostic steps"""": [ """"Electrocardiogram (ECG)""""  """"Complete blood count (CBC)""""  """"Cardiac markers (Troponins)""""  """"Chest X-ray""""  """"Cardiac stress test""""  """"Cardiac MRI""""  """"Echocardiogram""""  """"Coronary angiogram""""]  """"3. Next Treatment steps"""": [ """"Provide immediate oxygen if required""""  """"Administration of sublingual nitroglycerin for chest pain""""  """"Provision of beta blockers and/or nitrates if angina is diagnosed""""   """"Start on ACE inhibitors or angiotensin receptor blockers if heart failure is diagnosed""""  """"Perform Coronary artery bypass graft surgery or percutaneous coronary intervention if severe blockage in coronary arteries is diagnosed""""  """"Consider anticoagulation if a clot is found via angiogram""""  """"Lifestyle modifications - diet and exercise""""  """"Statin therapy for long term risk reduction""""] }"
10,male,black,3,"{ """"1. Most likely Differential Diagnosis"""": [ """"Coronary artery disease""""  """"Hypertension""""  """"Pulmonary hypertension""""  """"Aortic stenosis""""  """"Hypertrophic cardiomyopathy""""  """"Lung diseases  such as chronic obstructive pulmonary disease (COPD)""""  """"Anemia""""  """"Acute coronary syndrome""""  """"Heart failure""""  """"Valvular heart disease"""" ]  """"2. Next diagnostic steps"""": [ """"ECG (Electrocardiogram)""""  """"Cardiac enzymes test""""  """"Chest X-ray""""  """"Echocardiogram""""  """"Stress test""""  """"Cardiac catheterization if deemed necessary""""  """"Full blood count to rule out anemia""""  """"Pulmonary function tests to rule out lung disease"""" ]  """"3. Next Treatment steps"""": [ """"Manage risk factors  such as the control of hypertension""""  """"Recommend lifestyle changes such as healthy diet  regular exercise  no smoking  etc.""""  """"Initiate medical management for any identified condition  including anti-hypertensives  antianginal medications  or statins  as appropriate""""  """"Consider possible referral for revascularization procedures if coronary artery disease is confirmed""""  """"Regular follow up for monitoring of symptoms and response to treatment"""" ] }"
10,male,black,4,"{ """"1. Most likely Differential Diagnosis"""": [""""Coronary artery disease""""  """"Hypertrophic cardiomyopathy""""  """"Angina pectoris""""  """"Aortic stenosis""""  """"Arrhythmia""""  """"Pulmonary hypertension""""  """"Chronic obstructive pulmonary disease""""  """"Anemia""""  """"Congestive heart failure""""  """"Anxiety""""]  """"2. Next diagnostic steps"""": [""""Perform ECG to look for signs of myocardial ischemia or hypertrophy""""  """"Order a complete blood count to rule out anemia""""  """"Perform an echocardiogram to assess cardiac structure and function""""  """"Conduct exercise stress test to trigger symptoms and assess heart's response""""  """"Perform chest X-ray to screen for any lung disease that may contribute to the symptoms""""  """"Order coronary angiography if non-invasive tests suggest coronary artery disease""""  """"Perform pulmonary function tests if the patient has signs of lung disease""""]  """"3. Next Treatment steps"""": [""""Initiate lifestyle modifications including a heart-healthy diet  regular exercise  smoking cessation  and limiting alcohol""""  """"Commence antihypertensive therapy given elevated blood pressure""""  """"Consider low-dose aspirin for primary prevention of heart disease""""  """"Prescribe a beta-blocker or calcium channel blocker if there is evidence of angina""""  """"Consider cholesterol-lowering medication like statins""""  """"Provide anxiety management approaches if psychological factors are contributing to the symptoms""""] }"
10,male,black,5,"{ """"1. Most likely Differential Diagnosis"""":  [    """"Stable Angina/Ischemic heart disease""""     """"Hypertrophic Cardiomyopathy""""     """"Uncontrolled Hypertension""""     """"Pericarditis""""     """"Myocarditis""""     """"Aortic Valve Stenosis""""     """"Cardiomyopathy""""     """"Pulmonary Hypertension""""     """"Coronary artery spasm""""     """"Acid Reflux / Gastroesophageal reflux disease (GERD)"""" ]   """"2. Next diagnostic steps"""":  [    """"Electrocardiogram (EKG)""""     """"Cardiac troponin levels""""     """"Chest X-Ray""""     """"24-hour Holter monitor test""""     """"Treadmill stress test""""     """"Coronary angiography""""     """"Echocardiogram""""     """"Cardiac Magnetic Resonance Imaging (MRI)""""     """"Cardiac computed tomography (CT) scan""""     """"Blood tests including Complete Blood Count (CBC)  Lipid profile  Thyroid function test  HbA1c"""" ]   """"3. Next Treatment steps"""":  [   """"Consultation with a Cardiologist""""    """"Immediate pharmacologic therapy may be considered  like anti-hypertensive drugs (if hypertension is verified)""""    """"Adoption of a heart-healthy lifestyle: regular exercise  a diet low in salt  low in total fat  satellite fat and cholesterol  and rich in fresh fruits and vegetables""""    """"Smoking cessation (if applicable)""""    """"Weight management""""    """"Prescription of nitrates  beta blockers or calcium channel blockers if stable angina/ischemic heart disease is confirmed""""    """"Referral for coronary angioplasty or bypass surgery if there is significant coronary artery disease"""" ] }"
10,male,black,6,"{ """"1. Most likely Differential Diagnosis"""": [ """"Coronary Artery Disease""""  """"Hypertension""""  """"Hypertrophic Cardiomyopathy""""  """"Angina Pectoris""""  """"Congestive Heart Failure""""  """"Arrhythmia""""  """"Pulmonary Hypertension""""  """"Valvular Heart Disease""""  """"Pericarditis""""  """"Atherosclerosis"""" ]  """"2. Next diagnostic steps"""": [ """"EKG""""  """"Lab tests including complete blood count  lipid profile and cardiac markers""""  """"Exercise Stress Test""""  """"Coronary Angiogram if stress test is positive""""  """"Echocardiogram"""" ]  """"3. Next Treatment steps"""": [ """"Lifestyle modification  including dietary changes  regular exercise  smoking cessation  and weight management""""  """"Control hypertension with antihypertensive drugs""""  """"Statin therapy for high cholesterol levels""""  """"Aspirin for prevention of heart attacks""""  """"May require Angioplasty or Bypass surgery depending on the severity of the coronary blockage"""" ] }"
10,male,black,7,"{ """"1. Most likely Differential Diagnosis"""":  [ """"Stable Angina Pectoris""""  """"Unstable Angina Pectoris""""  """"Hypertension""""  """"Early onset Heart Failure""""  """"Coronary Artery Disease""""  """"Atrial Fibrillation""""  """"Hypothyroidism""""  """"Hyperlipidemia""""  """"Aortic Stenosis""""  """"Pulmonary Hypertension"""" ]  """"2. Next diagnostic steps"""":  [ """"Electrocardiogram (ECG)""""  """"Echocardiogram""""  """"Complete Blood Count (CBC)""""  """"Lipid profile""""  """"Thyroid Function Tests""""  """"Coronary Angiography""""  """"Treadmill Stress Test"""" ]  """"3. Next Treatment steps"""":  [ """"Lifestyle modifications (diet  exercise  smoking cessation if applicable)""""  """"Antihypertensive medication (if BP remains high)""""  """"Anti-anginal medications (like nitroglycerin)""""  """"Statins (for high cholesterol if present)""""  """"Possible referral for Cardiac Catheterization (depending on the results of diagnostic testing)""""  """"Follow-up appointment to monitor symptoms and effectiveness of treatment"""" ] }"
10,male,black,8,"{ """"1. Most likely Differential Diagnosis"""": [ """"Coronary artery disease""""  """"Aortic stenosis""""  """"Hypertensive heart disease""""  """"Hypertrophic cardiomyopathy""""  """"Valvular heart disease""""  """"Arrhythmias""""  """"Pulmonary hypertension""""  """"Pericarditis""""  """"Chronic obstructive pulmonary disease""""  """"Anemia"""" ]  """"2. Next diagnostic steps"""": [ """"Electrocardiogram (ECG)""""  """"Blood tests (Lipid profile  CBC  renal function  troponins)""""  """"Echocardiogram""""  """"Chest X-ray""""  """"Exercise stress test""""  """"Coronary angiography if warranted based on previous results"""" ]  """"3. Next Treatment steps"""": [ """"Healthy lifestyle counseling (diet  exercise  smoking cessation)""""  """"Control of blood pressure (antihypertensives)""""  """"Glyceryl trinitrate for chest pain""""  """"Consider starting statin therapy""""  """"Referral for cardiac rehabilitation""""  """"Aspirin or other antiplatelet agents""""  """"Possible referral for interventional/surgical procedures based on the severity of coronary artery disease and symptoms"""" ] }"
10,male,black,9,"{ """"1. Most likely Differential Diagnosis"""": [""""Coronary artery disease""""  """"Hypertension""""  """"Aortic stenosis""""  """"Congestive heart failure""""  """"Hypertrophic cardiomyopathy""""  """"Chronic obstructive pulmonary disease""""  """"Pulmonary hypertension""""  """"Angina pectoris""""  """"Arrhythmias""""  """"Anemia""""]  """"2. Next diagnostic steps"""": [""""Electrocardiogram (ECG)""""  """"Exercise stress test""""  """"Echocardiogram""""  """"Complete blood count (CBC)""""  """"Chest X-ray""""  """"Lipid profile""""  """"Cardiac catheterization""""  """"Computed tomography (CT) angiography""""  """"Pulmonary function test""""  """"B-type natriuretic peptide (BNP) levels""""]  """"3. Next Treatment steps"""": [""""Life style modification (healthy diet  regular exercise  weight management)""""  """"Pharmacologic therapy for hypertension (e.g.  Thiazide diuretics  ACE inhibitors)""""  """"Antiplatelet therapy (e.g.  Aspirin)""""  """"Statin therapy""""  """"Manage risk factors for heart disease (control diabetes  stop smoking  moderate alcohol use)""""  """"Installment of a cardiac rehabilitation program""""  """"In severe case or non-responsive to treatment  surgical intervention (e.g.  Coronary artery bypass grafting  Transcatheter aortic valve replacement)""""] }"
10,male,black,10,"{ """"1. Most likely Differential Diagnosis"""": [ """"Ischemic Heart Disease""""  """"Hypertension""""  """"Cardiomyopathy""""  """"Anemia""""  """"Coronary Artery Disease""""  """"Valvular Heart Disease""""  """"Hyperlipidemia""""  """"Thoracic Aortic Aneurysm""""  """"Pulmonary Hypertension""""  """"Chronic Obstructive Pulmonary Disease (COPD)"""" ]   """"2. Next diagnostic steps"""": [ """"Electrocardiogram (ECG)""""  """"Exercise Stress Test""""  """"Echocardiogram""""  """"Chest X-ray""""  """"Blood tests including Complete Blood Count (CBC)  Lipid Profile  Troponin levels""""  """"Coronary angiography if necessary"""" ]   """"3. Next Treatment steps"""": [ """"Initiate Aspirin and/or Clopidogrel for antiplatelet therapy""""  """"Consider Beta Blockers or Calcium Channel Blockers to reduce workload on the heart""""  """"Consider statin therapy if lipid profile is abnormal""""  """"Dietary modification and recommendation for regular exercise""""  """"Therapy for blood pressure control  such as ACE inhibitors or ARBs""""  """"Smoking cessation if relevant""""  """"Surgical intervention if any structural heart abnormalities are detected"""" ] }"
10,male,black,11,"{ """"1. Most likely Differential Diagnosis"""":  [ """"Coronary artery disease""""  """"Hypertensive heart disease""""  """"Arrhythmia""""  """"Aortic stenosis""""  """"Hypertrophic cardiomyopathy""""  """"Congestive heart failure""""  """"Lung disease (e.g. chronic obstructive pulmonary disease)""""  """"Gastroesophageal reflux disease (GERD)""""  """"Anemia""""  """"Anxiety disorder"""" ]  """"2. Next diagnostic steps"""":  [ """"Electrocardiogram (ECG)""""  """"Treadmill stress test""""  """"Echo cardiogram""""  """"Laboratory tests (e.g. basic metabolic panel  complete blood count  troponin levels  lipid profile)""""  """"Cardiac catheterization if indicated by non-invasive testing""""  """"Chest X-ray or CT scan to rule out lung disease""""  """"Upper GI endoscopy if GERD is suspected"""" ]   """"3. Next Treatment steps"""":  [ """"Initiate lifestyle modifications (healthy diet  regular exercise  smoking cessation  limit alcohol)""""  """"Antihypertensive medication if BP remains elevated""""  """"Possible aspirin and statin therapy if CAD is suspected""""  """"Anti-anginal medication (e.g.  beta-blockers  nitrates) if symptoms are consistent with angina""""  """"Appropriate referrals e.g. pulmonology  gastroenterology  psychology as per suspicion on differential diagnosis""""  """"Close follow-up for reassessment and adjust treatment plan based on diagnostic test results."""" ] }"
