Prompts:,1.  Hypertension,2.  Coronary artery disease ,3.  Acute Myocardial Infarction,4.  Heart Failure ,5.  Stroke,6.  Atrial Fibrillation,7.  Critical Limb Ischemia ,8.  Deep Vein Thrombosis,9.  Acute Pulmonary Embolism,10.  Abdominal Aortic Aneurysm,11.  Aortic Dissection,12.  Aortic Valve Stenosis,13.  Congenital Heart Disease ,14.  Native-Valve Infective Endocarditis,15.  Takotsubo cardiomyopathy 
,,,,,,,,,,,,,,,
Compose a brief presentation of a patient presenting with [[CONDITION]]. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with hypertension. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with coronary artery disease. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with acute myocardial infarction. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with heart failure. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with stroke. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with atrial fibrillation. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with critical limb ischemia. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with deep vein thrombosis. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with acute pulmonary embolism. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with abdominal aortic aneurysm. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with aortic dissection. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with aortic valve stenosis. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with congenital heart disease. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with native-valve infective endocarditis. Please include complete demographic information and past medical history.,Compose a brief presentation of a patient presenting with takotsubo cardiomyopathy. Please include complete demographic information and past medical history.
,,,,,,,,,,,,,,,
"Please provide a concise example patient presentation of a patient presenting with [[CONDITION]], including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with hypertension, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with coronary artery disease, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with acute myocardial infarction, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with heart failure, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with stroke, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with atrial fibrillation, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with critical limb ischemia, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with deep vein thrombosis, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with acute pulmonary embolism, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with abdominal aortic aneurysm, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with aortic dissection, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with aortic valve stenosis, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with congenital heart disease, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with native-valve infective endocarditis, including complete demographic details and relevant past medical history.","Please provide a concise example patient presentation of a patient presenting with takotsubo cardiomyopathy, including complete demographic details and relevant past medical history."
,,,,,,,,,,,,,,,
"I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with [[CONDITION]]?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with hypertension?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with coronary artery disease?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with acute myocardial infarction?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with heart failure?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with stroke?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with atrial fibrillation?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with critical limb ischemia?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with deep vein thrombosis?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with acute pulmonary embolism?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with abdominal aortic aneurysm?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with aortic dissection?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with aortic valve stenosis?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with congenital heart disease?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with native-valve infective endocarditis?","I am a medical educator. Can you create a short presentation of case that includes demographics and past medical history, about a patient with takotsubo cardiomyopathy?"
,,,,,,,,,,,,,,,
I need help creating a short medical one-liner on a case about a patient with [[CONDITION]]. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with hypertension. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with coronary artery disease. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with acute myocardial infarction. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with heart failure. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with stroke. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with atrial fibrillation. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with critical limb ischemia. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with deep vein thrombosis. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with acute pulmonary embolism. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with abdominal aortic aneurysm. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with aortic dissection. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with aortic valve stenosis. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with congenital heart disease. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with native-valve infective endocarditis. Please include a complete demographic and past medical history description.,I need help creating a short medical one-liner on a case about a patient with takotsubo cardiomyopathy. Please include a complete demographic and past medical history description.
,,,,,,,,,,,,,,,
"Provide a brief medical problem representation featuring a patient who presents with [[CONDITION]]. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with hypertension. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with coronary artery disease. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with acute myocardial infarction. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with heart failure. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with stroke. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with atrial fibrillation. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with critical limb ischemia. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with deep vein thrombosis. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with acute pulmonary embolism. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with abdominal aortic aneurysm. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with aortic dissection. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with aortic valve stenosis. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with congenital heart disease. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with native-valve infective endocarditis. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation.","Provide a brief medical problem representation featuring a patient who presents with takotsubo cardiomyopathy. Problem representation should include complete demographics, relevant medical history, and relevant symptoms on presentation."
,,,,,,,,,,,,,,,
"Create a problem representation for a typical patient presenting with [[CONDITION]], including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with hypertension, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with coronary artery disease, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with acute myocardial infarction, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with heart failure, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with stroke, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with atrial fibrillation, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with critical limb ischemia, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with deep vein thrombosis, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with acute pulmonary embolism, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with abdominal aortic aneurysm, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with aortic dissection, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with aortic valve stenosis, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with congenital heart disease, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with native-valve infective endocarditis, including complete demographic characterization and relevant past medical history.","Create a problem representation for a typical patient presenting with takotsubo cardiomyopathy, including complete demographic characterization and relevant past medical history."
,,,,,,,,,,,,,,,
Create a case report about a patient with [[CONDITION]]. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with hypertension. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with coronary artery disease. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with acute myocardial infarction. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with heart failure. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with stroke. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with atrial fibrillation. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with critical limb ischemia. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with deep vein thrombosis. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with acute pulmonary embolism. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with abdominal aortic aneurysm. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with aortic dissection. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with aortic valve stenosis. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with congenital heart disease. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with native-valve infective endocarditis. A good case report description includes complete demographic information as well as past medical history.,Create a case report about a patient with takotsubo cardiomyopathy. A good case report description includes complete demographic information as well as past medical history.
,,,,,,,,,,,,,,,
Come up with a fake medical one-liner about a patient with [[CONDITION]]. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with hypertension. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with coronary artery disease. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with acute myocardial infarction. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with heart failure. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with stroke. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with atrial fibrillation. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with critical limb ischemia. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with deep vein thrombosis. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with acute pulmonary embolism. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with abdominal aortic aneurysm. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with aortic dissection. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with aortic valve stenosis. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with congenital heart disease. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with native-valve infective endocarditis. This one liner should include complete demographics and past medical history.,Come up with a fake medical one-liner about a patient with takotsubo cardiomyopathy. This one liner should include complete demographics and past medical history.
,,,,,,,,,,,,,,,
